# Blocker_scaling_factor,Reimers_scaling_factor,Final_CO_WD_Mass
2.943246663699999877e-02,6.441800949529999931e-01,5.394556103082411846e-01
4.238845819999999959e-02,4.214139761919999949e-01,5.483102230262576482e-01
1.095505229760000004e-02,8.024280339270000173e-01,5.235992399464062252e-01
6.281302700270000039e-02,7.214596080690000024e-01,5.265378838632199798e-01
6.497822473490000306e-02,3.675807749009999958e-01,5.474399004951087111e-01
8.416797627180000463e-02,4.189712228249999892e-01,5.436118852333698959e-01
1.948071258119999857e-02,8.575977923249999968e-01,5.023826149421301013e-01
7.849007727649999488e-02,7.807424109820000346e-01,5.189350874489595533e-01
9.780502770670000678e-02,4.948507966730000263e-01,5.379606497745468285e-01
9.331215839800000023e-02,8.824564803969999760e-01,4.883345840463001464e-01
9.652234510380000576e-02,4.496334526749999894e-01,5.405185356750227266e-01
5.692055341369999660e-02,6.803128477980000532e-01,5.315661744602986349e-01
3.381385038450000075e-02,5.627258409449999998e-01,5.437836720942833546e-01
4.537641383580000298e-02,6.928762294479999806e-01,5.326907820418045336e-01
2.967238161569999907e-02,5.072514081100000238e-01,5.476617551998103073e-01
7.983511289759999408e-02,5.441080371080000422e-01,5.386310043674255033e-01
8.376163716300000228e-02,7.441751892529999690e-01,5.240614300938131187e-01
9.662008159469999413e-02,5.160342446460000065e-01,5.381577165219648684e-01
9.862017251370000515e-02,4.613262469469999738e-01,5.407318331858627092e-01
8.021898087029999402e-02,4.951206837000000083e-01,5.406715151763146210e-01
7.934693551289999369e-02,8.943766753599999841e-01,4.801765259136728803e-01
4.780744596550000336e-02,3.914227207009999820e-01,5.489309887770508212e-01
7.898902171610000522e-02,8.550698119530000252e-01,5.008416633139740615e-01
8.185507669779999718e-02,6.317082189820000249e-01,5.336185713887869886e-01
