# ENSEMBLE SAMPLING ELLIPTIC OPTIMIZATION LOG
# SUCCESS!
# NUMBER OF POINTS PER SAMPLE = 6
number samples, inner min ave, inner min std, inner max ave, inner max std, outer min ave, outer min std, outer max ave, outer max std
38, 0.4756095753778142, 0.15958477074415492, 0.5668479178124652, 0.0234262234468892, 0.4374432811361966, 0.23125960242906476, 0.58331540389546, 0.059829585399015194
39, 0.4763934945820208, 0.15759963039150326, 0.5661814245310406, 0.023486092999768414, 0.43865205460774437, 0.22839706432806448, 0.5823291153912624, 0.059369691553836784
40, 0.47709865557760667, 0.15567946313245082, 0.5658302921210459, 0.02329410043527172, 0.4397101344932227, 0.22562081089197908, 0.5816766003923931, 0.058764330383694524
41, 0.4777592975833664, 0.15382596946362231, 0.5656139732938907, 0.023048912197447355, 0.44069057685671387, 0.22293860527258466, 0.5812121167716882, 0.058117560184416724
42, 0.4776414658987372, 0.15198554856999352, 0.5651416090739767, 0.022972847758449738, 0.4406021851795031, 0.22026931268740665, 0.5808043989286736, 0.057480832735998605
43, 0.47818361055369574, 0.15024896501028812, 0.5657325470112825, 0.023024881305050544, 0.4413036863129241, 0.21774044096874073, 0.5814800218753791, 0.05697700797041372
44, 0.4788043072806035, 0.14858753421208368, 0.5651830084801944, 0.02304521831471678, 0.4422540734878796, 0.2153420960371913, 0.5806084678948185, 0.05661502591254455
45, 0.4793750795120542, 0.14697605855554843, 0.5649219822414562, 0.022853406522774535, 0.44310829392856094, 0.21301134020942697, 0.5801046116138989, 0.05608211358357464
46, 0.4793341063174344, 0.14536997444340624, 0.5696647645201678, 0.03902760029072925, 0.44216570804600563, 0.2107781404526908, 0.5868171492815059, 0.07144541106964088
47, 0.47992562091416135, 0.14387111672806943, 0.5690849555656265, 0.03880992487589625, 0.4431036199506943, 0.20862076925337486, 0.5860648092675689, 0.07086521167313009
48, 0.4804120310966105, 0.14240362053275096, 0.5690437354752388, 0.03840456673074465, 0.4438191324467016, 0.20649446974271224, 0.5858671441809301, 0.0701362397217809
49, 0.48072277703202665, 0.1409594739141596, 0.5704485922408062, 0.039237028531721944, 0.4440423365915855, 0.204382372063254, 0.5877505149512524, 0.07063258871916081
50, 0.4811706611682751, 0.1395779754481672, 0.5704152990302324, 0.038843375668121634, 0.444701763077802, 0.2023808742229458, 0.5875739657243779, 0.06993361601713952
51, 0.4816097540295879, 0.1382376617895853, 0.5702882517970531, 0.03847116343377522, 0.44535954083209095, 0.20044089760541003, 0.5872718976730384, 0.06927753328009634
52, 0.4820853369658365, 0.1369441235743484, 0.5697262472745251, 0.03831026749861002, 0.44611979826164, 0.19857846047501185, 0.5864746218334999, 0.06884401934935586
53, 0.4824896956576943, 0.1356773821505672, 0.5696269512415811, 0.03795388371544472, 0.4467235227238456, 0.19674433049931858, 0.5862184889755803, 0.06821646356169705
54, 0.4828886618572196, 0.1344466170746689, 0.569424360049639, 0.03762973162922474, 0.4473306908465948, 0.19496422554977816, 0.5858249368348943, 0.06764258311350742
55, 0.4829873846268952, 0.13322074365384715, 0.5717594912317624, 0.041045152458407785, 0.44706157780183364, 0.19319381469610414, 0.5890847991130793, 0.07117703075245503
56, 0.48331168849705985, 0.13204781956624995, 0.5720616929403022, 0.040738721797333705, 0.4474951488835511, 0.19148809839858433, 0.5894078863966684, 0.07057934249586882
57, 0.4835536989401184, 0.13089690901054654, 0.572996117891623, 0.04098076745599145, 0.4477006354836103, 0.18980717471900224, 0.5906459814246205, 0.07056834333259933
58, 0.48350186441589493, 0.1297641712123849, 0.5762073359830057, 0.047310117945912576, 0.4470332427994017, 0.18823124347303166, 0.5951908857043645, 0.07791939244916486
59, 0.48387405480935763, 0.12869099519898886, 0.5756265138329044, 0.04711557512416368, 0.44764362165000454, 0.18668712916050256, 0.5943160984182211, 0.07754296073434373
60, 0.4841451862208963, 0.12763105655305107, 0.57600274621939, 0.04681058598225937, 0.44798880134621494, 0.1851438519547027, 0.5947581735942497, 0.07696899361001303
61, 0.48447358276000146, 0.1266061341779719, 0.5756920203727195, 0.046487656147556095, 0.44851174513741443, 0.18366468270056854, 0.5942334540880359, 0.07644362205119155
62, 0.48474065234173824, 0.12559828829759243, 0.5759196152118917, 0.046145481376559216, 0.4488744238791825, 0.1821995150935818, 0.5944681159743855, 0.07584678197848074
63, 0.4850018514504655, 0.12461446247142674, 0.5761148870213083, 0.04580359693163094, 0.4492332804338621, 0.18076978833450794, 0.5946593748695339, 0.07525748501566586
64, 0.4853056870748905, 0.12366059691343288, 0.575768159049549, 0.045527602579182515, 0.4497231884764665, 0.17939411272177896, 0.5940956118740466, 0.07480118393791113
65, 0.48559975582098014, 0.1227282243629415, 0.575436974331489, 0.045253659228774584, 0.4501969510118116, 0.17804915342856942, 0.5935556489705407, 0.07434915393687995
66, 0.4858900596766799, 0.12181740272519861, 0.575055331137005, 0.045014801242292936, 0.45066935256497787, 0.17673619004926858, 0.5929530321953963, 0.07394353757671644
67, 0.48617198223470814, 0.12092659152626294, 0.574681709438528, 0.044780595286422406, 0.4511283581698174, 0.17545193634321335, 0.5923640762213348, 0.07354545155655551
68, 0.4864069919691899, 0.12004954504175301, 0.5747420732655778, 0.044452852744828034, 0.45146872523951853, 0.17417935327035736, 0.5923741828182393, 0.07300272015046286
69, 0.48652757395941876, 0.11918059392164243, 0.5757683697471506, 0.04493373973454593, 0.45147625923518353, 0.17291258868636877, 0.5937784421429154, 0.0733910874601597
70, 0.48655661419656987, 0.1183264876196619, 0.5753181010870846, 0.044768143952181934, 0.45159334997604805, 0.17167581117477473, 0.5932742096621699, 0.07298526250341401
71, 0.4867022457720964, 0.11749656534330961, 0.5760479374235548, 0.04486919886195186, 0.45169164119263805, 0.17046452301002787, 0.5942506428833252, 0.07292847204868602
72, 0.48677122391483096, 0.11667921161159257, 0.5773640470070203, 0.045915852657287856, 0.4515667345224772, 0.16927987434220734, 0.5960787290110239, 0.07404031293429583
73, 0.48334545827276765, 0.11946768350544637, 0.5772604779071433, 0.04560874354543456, 0.44667333035097867, 0.17316813063662953, 0.5967854146567279, 0.07377553537261834
74, 0.48363813253177956, 0.11868406995226567, 0.5768563443869521, 0.04543093545512858, 0.44715034022174227, 0.17204237652490983, 0.5961547344813108, 0.07347322072843177
75, 0.4838236079496151, 0.1179009840132578, 0.5774513256352168, 0.045416368155749384, 0.4473289749104977, 0.17089848730201695, 0.5969316218804184, 0.073287104188291
76, 0.4840995827964177, 0.11714713400411149, 0.5770874855640337, 0.04522648428502645, 0.44777819003373504, 0.16981499992842095, 0.5963562980206873, 0.07297364872455574
77, 0.48436046308835606, 0.11640617173060304, 0.5768257495491875, 0.04498974580695525, 0.44819554493882485, 0.16874793045603262, 0.5959178508881681, 0.07259893593706553
78, 0.48461209643859493, 0.11567864699358704, 0.5765998932231944, 0.04474433341648273, 0.4485954564634719, 0.1676994436597876, 0.5955301378512042, 0.07221224537116473
79, 0.4848551450731475, 0.11496421328048385, 0.5764046843453831, 0.04449365356179498, 0.4489793288271105, 0.166669159344083, 0.5951863088934345, 0.07181797624539946
80, 0.4850763975157221, 0.1142603516747382, 0.576383091765332, 0.04421511025777971, 0.44930994638926924, 0.16565026833008076, 0.5950867701804052, 0.07137318592483372
81, 0.4853121948131416, 0.11357243446827149, 0.5761445905231932, 0.04399308009951371, 0.4496874126835387, 0.1646591761466084, 0.5946878207728237, 0.07102094060918093
82, 0.48513032008448054, 0.11288966307537374, 0.5757771055419386, 0.04384891593098551, 0.44948995280027376, 0.1636617258512125, 0.5943251022709388, 0.07066200441922993
83, 0.4853553145424904, 0.11222603971487397, 0.5756023063067116, 0.04361269917095363, 0.4498442866470628, 0.16270446531774663, 0.5940138559149403, 0.07029156778735383
84, 0.48435730360225077, 0.11192594614464665, 0.5753321308771072, 0.043422142199874274, 0.44846191078526293, 0.16222269034409748, 0.5939583856052277, 0.06987374040081282
